"count","summary"
"14","Device display name: BWP-5CD450HRXW (Finnegan R) - Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 5% for 15 minutes, start alerting after 10 minutes Exclude recovery volume for window device(s) Exclude removable disk fo"
"6","Device name: LIG-MAILSTORE - Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 20% for 15 minutes Exclude Boot Volume Exclude recovery volume for window device(s) Exclude removable disk for window device(s) - MODERATE/MEDI"
"2","MailStore Server Status Report"
"2","[NLTABNEAD01.nlta.local] Activity failed"
"1","Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-09T01:36:26Z to 2026-04-09T01:36:26Z - MODERATE/MEDIUM"
"1","Add Mobile number to 3CX for SMS and outgoing calls"
"1","Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-09T02:58:39Z to 2026-04-09T02:58:39Z - MODERATE/MEDIUM"
"1","Device name: NLTABNEAD02 - EventId: 4722, EventTime: 2026-04-09T03:17:14Z, Source: Microsoft-Windows-Security-Auditing, Message: A user account was enabled."
"1","Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-09T03:38:49Z to 2026-04-09T03:38:49Z - MODERATE/MEDIUM"
"1","Mail Migration from Cpanel to O365 (existing tenancy)"
"1","[RFP] Backup succeeded with warnings"
"1","[Marketing] Backup succeeded with warnings"
"1","[Management] Backup succeeded with warnings"
"1","[Wire-Not Electrical Shared Drive] Backup succeeded with warnings"
"1","Scan to Email failing to send"
"1","Please install Adobe Creative Cloud on my computer. It is in dowloads already"
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-09T10:50:31Z to 2026-04-09T10:50:31Z - MODERATE/MEDIUM"
"1","ATT: Shaun - Microsoft issue again - AR - Desktop"
"1","Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-08T08:29:25Z to 2026-04-08T08:29:25Z - MODERATE/MEDIUM"
"1","Charity Email Signature"
"1","FW: Authorise install"
"1","Client Report Generation for March"
"1","UniFi Site Migrations"
"1","file link is getting blocked with https://northonline.amp.com.au/"
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-08T12:46:21Z to 2026-04-08T12:46:21Z - MODERATE/MEDIUM"
"1","Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-08T23:36:04Z to 2026-04-08T23:36:04Z - MODERATE/MEDIUM"
"1","Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-09T00:16:09Z to 2026-04-09T00:16:09Z - MODERATE/MEDIUM"
"1","Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-09T00:56:18Z to 2026-04-09T00:56:18Z - MODERATE/MEDIUM"
"1","Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-08T22:55:56Z to 2026-04-08T22:55:56Z - MODERATE/MEDIUM"
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-08T17:01:58Z to 2026-04-08T17:01:58Z - MODERATE/MEDIUM"
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-08T22:01:39Z to 2026-04-08T22:01:39Z - MODERATE/MEDIUM"
"1","Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-08T22:15:48Z to 2026-04-08T22:15:48Z - MODERATE/MEDIUM"
"1","[ShieldTech Management] Backup succeeded with warnings"
