"count","ticket_summary","suggested_title","suggested_tags"
"24","Device display name: BWP-5CD450HRXW (Finnegan R) - Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 5% for 15 minutes, start alerting after 10 minutes Exclude recovery volume for window device(s) Exclude removable disk fo","How to: Device display name: BWP-5CD450HRXW (Finnegan R) - Running Script: ActionSet for Conditionâ€¦",""
"13","Device name: LIG-MAILSTORE - Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 20% for 15 minutes Exclude Boot Volume Exclude recovery volume for window device(s) Exclude removable disk for window device(s) - MODERATE/MEDI","How to: Device name: LIG-MAILSTORE - Running Script: ActionSet for Condition : Disk Free Space isâ€¦",""
"3","[NLTABNEAD01.nlta.local] Activity failed","How to: [NLTABNEAD01.nlta.local] Activity failed",""
"2","MailStore Server Status Report","How to: MailStore Server Status Report",""
"1","Device 'DEVHATEST02' is offline for 30 minutes triggering condition 'Device Down for 30 minute(s)' - MAJOR/HIGH","How to: Device 'DEVHATEST02' is offline for 30 minutes triggering condition 'Device Down for 30 miâ€¦",""
"1","Device 'NLTABNEDEVSVR1' is offline for 30 minutes triggering condition 'Device Down for 30 minute(s)' - MAJOR/HIGH","How to: Device 'NLTABNEDEVSVR1' is offline for 30 minutes triggering condition 'Device Down for 30â€¦",""
"1","Device 'DEVHATEST01' is offline for 30 minutes triggering condition 'Device Down for 30 minute(s)' - MAJOR/HIGH","How to: Device 'DEVHATEST01' is offline for 30 minutes triggering condition 'Device Down for 30 miâ€¦",""
"1","Device name: NLTABNEAD02 - Device 'NLTABNEAD02' is offline for 31 minutes triggering condition 'Device Down for 30 minute(s)' - MAJOR/HIGH","How to: Device name: NLTABNEAD02 - Device 'NLTABNEAD02' is offline for 31 minutes triggering condiâ€¦",""
"1","Device name: DESKTOP-VNIC9AL - Memory Utilization is greater than or equal to 90% from 2026-04-04T17:33:12Z to 2026-04-04T17:47:18Z - MODERATE/MEDIUM","How to: Device name: DESKTOP-VNIC9AL - Memory Utilization is greater than or equal to 90% from 202â€¦",""
"1","Device name: NLTABNEDEVSVR2 - Device 'NLTABNEDEVSVR2' is offline for 30 minutes triggering condition 'Device Down for 30 minute(s)' - MAJOR/HIGH","How to: Device name: NLTABNEDEVSVR2 - Device 'NLTABNEDEVSVR2' is offline for 30 minutes triggeringâ€¦",""
"1","Device name: NLTABNEFS02 - Device 'NLTABNEFS02' is offline for 30 minutes triggering condition 'Device Down for 30 minute(s)' - MAJOR/HIGH","How to: Device name: NLTABNEFS02 - Device 'NLTABNEFS02' is offline for 30 minutes triggering condiâ€¦",""
"1","Quick Time - Belinda Lee - 4/6/2026 09:35","How to: Quick Time - Belinda Lee - 4/6/2026 09:35",""
"1","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-05T13:25:53Z to 2026-04-05T13:25:53Z - MODERATE/MEDIUM","How to: Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20%â€¦",""
"1","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-05T14:45:04Z to 2026-04-05T14:45:04Z - MODERATE/MEDIUM","How to: Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20%â€¦",""
"1","Device name: DESKTOP-VNIC9AL - Memory Utilization is greater than or equal to 90% from 2026-04-05T11:19:08Z to 2026-04-05T11:33:11Z - MODERATE/MEDIUM","How to: Device name: DESKTOP-VNIC9AL - Memory Utilization is greater than or equal to 90% from 202â€¦",""
"1","Device name: KENZIELAPTOP - Software uninstalled: 'HP Wolf Security Application Support for Chrome 144.0.7559.220', Version: '4.4.29.1478', User: ' ' - MODERATE/MEDIUM","How to: Device name: KENZIELAPTOP - Software uninstalled: 'HP Wolf Security Application Support foâ€¦",""
"1","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-05T17:03:33Z to 2026-04-05T17:03:33Z - MODERATE/MEDIUM","How to: Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20%â€¦",""
"1","[TABLET-6NBHRA8U] Backup status is unknown","How to: [TABLET-6NBHRA8U] Backup status is unknown",""
"1","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-05T15:25:13Z to 2026-04-05T15:25:13Z - MODERATE/MEDIUM","How to: Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20%â€¦",""
"1","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-05T16:23:25Z to 2026-04-05T16:23:25Z - MODERATE/MEDIUM","How to: Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20%â€¦",""
"1","Device display name: NLTDEVHOST2 - Device 'NLTDEVHOST2' is offline for 30 minutes triggering condition 'Device Down for 30 minute(s)' - MAJOR/HIGH","How to: Device display name: NLTDEVHOST2 - Device 'NLTDEVHOST2' is offline for 30 minutes triggeriâ€¦",""
"1","Device name: L-5CG1474TN3 - Running Script: ActionSet for Condition : Reboot Schedule & Acknowledgement","How to: Device name: L-5CG1474TN3 - Running Script: ActionSet for Condition : Reboot Schedule & Acâ€¦",""
